player_name,poss,mp,raptor_offense,raptor_defense,raptor_total
Tyler Dorsey,16,8,13.67609723,9.141079609,22.81717684
Luguentz Dort,4874,2272,-0.815248962,2.509759739,1.694510778
Ayo Dosunmu,4405,2098,-2.905908475,0.340439349,-2.565469126
Devon Dotson,108,53,-4.780530266,5.540717676,0.76018741
Jeff Dowtin Jr.,523,259,-0.361824374,-0.720302621,-1.082126995
PJ Dozier,181,85,-5.874130267,7.596469844,1.722339577
Goran Dragic,1885,877,-1.087620448,-2.247626341,-3.335246789
Andre Drummond,1799,849,-1.739663971,2.791680567,1.052016595
Chris Duarte,1918,897,-1.726240542,-0.134366047,-1.860606589
David Duke Jr.,495,233,-3.25701814,1.453114433,-1.803903706
Kris Dunn,1245,568,2.136536485,-2.700439583,-0.563903098
Kevin Durant,4410,2138,4.817806526,0.167129814,4.98493634
Jalen Duren,3489,1670,-1.920543312,0.016435526,-1.904107786
Tari Eason,3753,1767,-0.688229953,1.087749029,0.399519076
Anthony Edwards,6418,3041,2.019945656,0.28448494,2.304430596
Kessler Edwards,834,392,-0.918867339,-0.178084322,-1.096951661
Keon Ellis,147,71,0.206815783,-1.60645596,-1.399640177
Joel Embiid,5286,2620,3.724874175,4.101091714,7.825965889
Drew Eubanks,3311,1584,-1.62050389,0.080349144,-1.540154746
Bruno Fernando,844,405,-2.273698812,1.717100871,-0.556597941
Dorian Finney-Smith,4251,2110,-2.174893878,1.405444033,-0.769449844
Malachi Flynn,1426,691,-1.707438126,-2.824667755,-4.532105881
Simone Fontecchio,1675,766,-3.46043335,-4.690910784,-8.151344134
Bryn Forbes,580,268,-3.825009881,-4.482780088,-8.307789969
Trent Forrest,586,277,-3.759161012,-1.865361654,-5.624522666
Michael Foster Jr.,2,1,-16.72526664,6.359601865,-10.36566478
Evan Fournier,961,459,-2.878157547,-2.069089512,-4.94724706
De'Aaron Fox,5829,2705,4.411788502,-1.899750282,2.512038221
Markelle Fultz,3750,1778,-0.27417971,-0.420729149,-0.694908859
Wenyen Gabriel,2298,1061,-1.190493222,1.06553746,-0.124955763
Daniel Gafford,3338,1604,0.373926754,-0.358128205,0.015798549
Darius Garland,5317,2636,3.57285396,0.674807502,4.247661462
Usman Garuba,2070,970,-2.622893002,0.5083867,-2.114506303
Luka Garza,539,243,4.75819581,-3.777223692,0.980972119
Rudy Gay,1753,816,-2.945600649,-0.192716264,-3.138316913
