name,posessions,minutes,offense,defense,total
T.J. McConnell,3305,1526,0.0,1.0,2.0
Jalen McDaniels,4282,2015,-2.0,0.0,-1.0
Jaden McDaniels,5094,2416,-1.0,1.0,0.0
Doug McDermott,2858,1314,-2.0,-5.0,-6.0
JaVale McGee,756,355,-6.0,-1.0,-6.0
Bryce McGowens,1689,787,-5.0,-1.0,-6.0
Rodney McGruder,1103,524,0.0,-1.0,0.0
Jordan McLaughlin,1534,692,-1.0,0.0,0.0
De'Anthony Melton,4918,2424,-1.0,1.0,1.0
Sam Merrill,121,59,-1.0,-2.0,-2.0
Chimezie Metu,1533,695,-2.0,1.0,-1.0
Khris Middleton,2129,974,2.0,0.0,2.0
Patty Mills,1232,572,-2.0,-4.0,-5.0
Shake Milton,3353,1588,-1.0,-2.0,-3.0
Justin Minaya,195,89,-7.0,-7.0,-14.0
Josh Minott,233,102,-1.0,0.0,0.0
Davion Mitchell,3388,1587,-3.0,2.0,0.0
Donovan Mitchell,5302,2639,5.0,-2.0,4.0
Evan Mobley,5852,2903,-2.0,1.0,0.0
Isaiah Mobley,171,84,-1.0,5.0,4.0
Chima Moneke,18,8,-18.0,-12.0,-29.0
Malik Monk,4157,1924,1.0,-2.0,0.0
Moses Moody,2112,978,-2.0,-2.0,-3.0
Xavier Moon,40,20,-4.0,2.0,-1.0
Wendell Moore Jr.,351,155,-5.0,-2.0,-6.0
Ja Morant,4560,2135,4.0,0.0,5.0
Markieff Morris,789,355,-5.0,-2.0,-6.0
Marcus Morris Sr.,3874,1893,-2.0,-2.0,-4.0
Monte Morris,3518,1695,1.0,-2.0,0.0
Trey Murphy III,5132,2448,1.0,0.0,1.0
Dejounte Murray,6111,2883,0.0,-2.0,-1.0
Jamal Murray,6004,2932,3.0,-1.0,3.0
Keegan Murray,5451,2576,-1.0,-2.0,-2.0
Mike Muscala,2098,966,1.0,-1.0,0.0
Svi Mykhailiuk,990,468,0.0,1.0,1.0
Larry Nance Jr.,2897,1381,-1.0,2.0,1.0
Andrew Nembhard,4439,2073,-2.0,-1.0,-3.0
Aaron Nesmith,3874,1816,-1.0,-2.0,-3.0
Raul Neto,1035,512,-1.0,0.0,0.0
Georges Niang,3475,1669,-1.0,-3.0,-4.0
Daishen Nix,1924,914,-5.0,-3.0,-8.0
Zeke Nnaji,1517,740,-4.0,0.0,-4.0
Nerlens Noel,428,195,-8.0,0.0,-8.0
Jaylen Nowell,2863,1314,-1.0,-3.0,-3.0
Frank Ntilikina,1286,607,-4.0,-1.0,-5.0
Kendrick Nunn,2090,964,-2.0,-3.0,-4.0
Jusuf Nurkic,2886,1391,-2.0,2.0,0.0
Jordan Nwora,2565,1188,-2.0,-4.0,-5.0
Chuma Okeke,1083,518,-3.0,-2.0,-5.0
Josh Okogie,3196,1525,-1.0,3.0,2.0
Onyeka Okongwu,4198,1980,-1.0,1.0,0.0
Isaac Okoro,3533,1727,-1.0,1.0,0.0
